Id,Sentiment
0,neutral
1,neutral
2,neutral
3,positive
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,neutral
15,negative
16,neutral
17,neutral
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
23,neutral
24,positive
25,negative
26,neutral
27,positive
28,neutral
29,neutral
30,neutral
31,neutral
32,neutral
33,negative
34,neutral
35,positive
36,positive
37,neutral
38,negative
39,neutral
40,neutral
41,neutral
42,neutral
43,neutral
44,neutral
45,neutral
46,neutral
47,neutral
48,neutral
49,neutral
50,positive
51,neutral
52,neutral
53,positive
54,neutral
55,neutral
56,neutral
57,neutral
58,neutral
59,neutral
60,neutral
61,positive
62,neutral
63,positive
64,neutral
65,positive
66,negative
67,positive
68,negative
69,neutral
70,positive
71,neutral
72,neutral
73,neutral
74,neutral
75,positive
76,neutral
77,positive
78,positive
79,positive
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,positive
87,neutral
88,positive
89,neutral
90,neutral
91,neutral
92,positive
93,neutral
94,positive
95,positive
96,neutral
97,neutral
98,negative
99,positive
100,neutral
101,neutral
102,positive
103,negative
104,neutral
105,negative
106,neutral
107,positive
108,negative
109,neutral
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,neutral
117,neutral
118,neutral
119,neutral
120,neutral
121,neutral
122,positive
123,neutral
124,neutral
125,neutral
126,negative
127,positive
128,neutral
129,neutral
130,positive
131,positive
132,neutral
133,neutral
134,positive
135,neutral
136,neutral
137,neutral
138,neutral
139,neutral
140,positive
141,neutral
142,positive
143,positive
144,positive
145,positive
146,neutral
147,neutral
148,neutral
149,neutral
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,negative
160,positive
161,neutral
162,positive
163,neutral
164,neutral
165,neutral
166,positive
167,neutral
168,neutral
169,neutral
170,neutral
171,negative
172,neutral
173,neutral
174,negative
175,positive
176,neutral
177,positive
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,positive
191,neutral
192,neutral
193,neutral
194,positive
195,neutral
196,positive
197,neutral
198,positive
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,negative
207,neutral
208,positive
209,neutral
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,positive
216,negative
217,neutral
218,neutral
219,neutral
220,positive
221,positive
222,neutral
223,neutral
224,positive
225,neutral
226,positive
227,neutral
228,neutral
229,positive
230,positive
231,neutral
232,neutral
233,positive
234,neutral
235,neutral
236,positive
237,neutral
238,neutral
239,negative
240,neutral
241,positive
242,neutral
243,neutral
244,neutral
245,neutral
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,neutral
253,neutral
254,positive
255,neutral
256,positive
257,negative
258,positive
259,positive
260,neutral
261,neutral
262,negative
263,neutral
264,neutral
265,neutral
266,positive
267,neutral
268,positive
269,negative
270,positive
271,neutral
272,neutral
273,neutral
274,positive
275,neutral
276,positive
277,negative
278,positive
279,neutral
280,neutral
281,neutral
282,negative
283,neutral
284,negative
285,neutral
286,neutral
287,positive
288,negative
289,positive
290,neutral
291,neutral
292,positive
293,neutral
294,neutral
295,neutral
296,positive
297,positive
298,neutral
299,neutral
300,negative
301,neutral
302,positive
303,neutral
304,positive
305,neutral
306,positive
307,neutral
308,neutral
309,neutral
310,neutral
311,neutral
312,neutral
313,neutral
314,neutral
315,neutral
316,positive
317,positive
318,neutral
319,neutral
320,positive
321,neutral
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,neutral
328,neutral
329,neutral
330,negative
331,neutral
332,positive
333,neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,positive
339,positive
340,positive
341,neutral
342,neutral
343,neutral
344,neutral
345,neutral
346,neutral
347,neutral
348,neutral
349,negative
350,neutral
351,neutral
352,neutral
353,neutral
354,neutral
355,neutral
356,neutral
357,neutral
358,neutral
359,positive
360,neutral
361,positive
362,neutral
363,neutral
364,neutral
365,neutral
366,positive
367,neutral
368,neutral
369,neutral
370,neutral
371,neutral
372,positive
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,positive
379,neutral
380,positive
381,positive
382,neutral
383,neutral
384,neutral
385,positive
386,positive
387,neutral
388,positive
389,positive
390,negative
391,neutral
392,negative
393,positive
394,positive
395,negative
396,positive
397,neutral
398,negative
399,positive
400,neutral
401,neutral
402,neutral
403,positive
404,negative
405,negative
406,neutral
407,neutral
408,neutral
409,positive
410,neutral
411,neutral
412,neutral
413,neutral
414,positive
415,positive
416,neutral
417,neutral
418,neutral
419,positive
420,neutral
421,neutral
422,neutral
423,neutral
424,negative
425,neutral
426,neutral
427,neutral
428,neutral
429,neutral
430,positive
431,positive
432,positive
433,neutral
434,neutral
435,positive
436,neutral
437,neutral
438,neutral
439,neutral
440,positive
441,neutral
442,neutral
443,neutral
444,neutral
445,neutral
446,neutral
447,neutral
448,negative
449,neutral
450,neutral
451,positive
452,neutral
453,neutral
454,negative
455,neutral
456,negative
457,neutral
458,neutral
459,neutral
460,positive
461,neutral
462,neutral
463,neutral
464,positive
465,positive
466,positive
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,neutral
473,neutral
474,positive
475,neutral
476,neutral
477,neutral
478,neutral
479,neutral
480,neutral
481,neutral
482,neutral
483,neutral
484,positive
485,positive
486,neutral
487,neutral
488,neutral
489,neutral
490,neutral
491,positive
492,neutral
493,neutral
494,positive
495,positive
496,neutral
497,neutral
498,positive
499,neutral
500,positive
501,positive
502,neutral
503,negative
504,positive
505,positive
506,neutral
507,positive
508,negative
509,neutral
510,negative
511,neutral
512,positive
513,neutral
514,positive
515,neutral
516,neutral
517,neutral
518,neutral
519,positive
520,positive
521,neutral
522,neutral
523,neutral
524,positive
525,neutral
